,ID_VRSTE,ID_LOKACIJE,KONCENTRACIJA,TENDENCIJA,dan,mesec,godina,vrstaBiljke,alergenost,nadmorskaVisina,nadmorskaSirina
352,14,3,1,1,29,5,2011,0,0,20.3497222,43.891388899999995
353,15,3,1,2,29,5,2011,0,0,20.3497222,43.891388899999995
354,16,3,1,3,29,5,2011,1,1,20.3497222,43.891388899999995
355,17,3,0,0,29,5,2011,0,1,20.3497222,43.891388899999995
356,18,3,2,3,29,5,2011,2,2,20.3497222,43.891388899999995
357,19,3,0,0,29,5,2011,0,1,20.3497222,43.891388899999995
358,20,3,0,1,29,5,2011,0,1,20.3497222,43.891388899999995
359,21,3,0,3,29,5,2011,1,1,20.3497222,43.891388899999995
360,22,3,0,1,29,5,2011,0,0,20.3497222,43.891388899999995
361,23,3,0,3,29,5,2011,0,0,20.3497222,43.891388899999995
362,24,3,0,0,29,5,2011,0,0,20.3497222,43.891388899999995
363,25,3,1,3,29,5,2011,1,2,20.3497222,43.891388899999995
364,1,6,0,0,29,5,2011,0,0,19.5263889,45.6088889
365,2,6,0,0,29,5,2011,0,2,19.5263889,45.6088889
366,3,6,0,0,29,5,2011,1,2,19.5263889,45.6088889
367,4,6,0,0,29,5,2011,1,1,19.5263889,45.6088889
368,5,6,0,0,29,5,2011,0,2,19.5263889,45.6088889
369,6,6,0,0,29,5,2011,1,0,19.5263889,45.6088889
370,7,6,0,0,29,5,2011,0,0,19.5263889,45.6088889
371,8,6,0,3,29,5,2011,1,1,19.5263889,45.6088889
372,9,6,0,0,29,5,2011,0,1,19.5263889,45.6088889
373,10,6,0,1,29,5,2011,0,1,19.5263889,45.6088889
374,11,6,0,1,29,5,2011,0,0,19.5263889,45.6088889
375,12,6,1,1,29,5,2011,0,1,19.5263889,45.6088889
376,13,6,0,1,29,5,2011,0,1,19.5263889,45.6088889
377,14,6,0,0,29,5,2011,0,0,19.5263889,45.6088889
378,15,6,1,2,29,5,2011,0,0,19.5263889,45.6088889
379,16,6,1,3,29,5,2011,1,1,19.5263889,45.6088889
380,17,6,0,0,29,5,2011,0,1,19.5263889,45.6088889
381,18,6,1,3,29,5,2011,2,2,19.5263889,45.6088889
382,19,6,0,0,29,5,2011,0,1,19.5263889,45.6088889
